submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
10/26/2021,HI,80876,,,69,10,883,,,0,0,10/27/2021 02:21:35 PM,Not agree,Not agree
06/17/2021,HI,35862,,,31,0,504,,,0,0,06/18/2021 01:48:26 PM,Not agree,Not agree
12/30/2021,HI,106350,,,3425,368,1074,,,0,0,12/31/2021 02:32:16 PM,Not agree,Not agree
11/12/2020,HI,16171,,,94,0,221,,,0,0,11/13/2020 02:54:34 PM,Not agree,Not agree
06/15/2021,HI,35802,,,33,5,503,,,0,0,06/16/2021 03:10:20 PM,Not agree,Not agree
11/10/2020,HI,15961,,,69,0,221,,,1,0,11/11/2020 03:15:25 PM,Not agree,Not agree
10/10/2020,HI,13371,,,108,0,168,,,2,0,10/11/2020 01:47:22 PM,Not agree,Not agree
07/23/2021,HI,38499,,,215,5,524,,,0,0,07/24/2021 02:21:11 PM,Not agree,Not agree
04/26/2022,HI,238763,,,0,0,1395,,,0,0,04/27/2022 01:16:30 PM,Not agree,Not agree
03/20/2020,HI,49,,,10,0,0,,,0,,03/26/2020 12:22:39 PM,Not agree,Not agree
10/06/2020,HI,13009,,,109,0,160,,,3,0,10/07/2020 09:45:01 AM,Not agree,Not agree
08/08/2021,HI,44609,,,632,25,539,,,0,0,08/09/2021 02:44:15 PM,Not agree,Not agree
06/06/2020,HI,662,,,1,0,17,,,0,0,06/07/2020 10:23:35 AM,Not agree,Not agree
08/13/2020,HI,4512,,,232,0,38,,,0,0,08/14/2020 10:30:03 AM,Not agree,Not agree
05/15/2022,HI,251759,,,0,0,1422,,,0,0,05/16/2022 02:11:38 PM,Not agree,Not agree
08/29/2021,HI,60094,,,1658,98,586,,,2,0,08/30/2021 02:26:22 PM,Not agree,Not agree
07/21/2022,HI,313805,,,0,0,1536,,,0,0,07/22/2022 01:17:16 PM,Not agree,Not agree
08/20/2020,HI,6048,,,230,0,45,,,2,0,08/21/2020 10:27:34 AM,Not agree,Not agree
09/25/2021,HI,75391,,,394,7,742,,,0,0,09/27/2021 01:21:43 PM,Not agree,Not agree
04/17/2020,HI,564,,,20,0,9,,,0,,04/17/2020 12:22:39 PM,Not agree,Not agree
06/02/2020,HI,646,,,1,0,17,,,0,0,06/03/2020 10:11:36 AM,Not agree,Not agree
09/04/2020,HI,9655,,,219,0,81,,,2,0,09/05/2020 10:09:45 AM,Not agree,Not agree
07/08/2020,HI,1109,,,34,0,19,,,0,0,07/09/2020 11:14:15 AM,Not agree,Not agree
04/28/2020,HI,602,,,4,0,16,,,0,0,04/29/2020 02:12:08 PM,Not agree,Not agree
10/13/2020,HI,13538,,,61,0,173,,,4,0,10/14/2020 01:28:39 PM,Not agree,Not agree
10/28/2021,HI,81168,,,117,-4,886,,,2,0,10/29/2021 02:10:26 PM,Not agree,Not agree
05/26/2022,HI,267602,,,0,0,1439,,,0,0,05/27/2022 01:29:41 PM,Not agree,Not agree
07/02/2021,HI,36508,,,73,11,515,,,0,0,07/03/2021 01:44:06 PM,Not agree,Not agree
08/13/2021,HI,47612,,,1149,6,544,,,1,0,08/14/2021 02:46:52 PM,Not agree,Not agree
07/17/2022,HI,309561,,,0,0,1523,,,0,0,07/18/2022 01:37:41 PM,Not agree,Not agree
03/30/2022,HI,234659,,,1090,239,1367,,,6,0,03/31/2022 02:49:40 PM,Not agree,Not agree
02/28/2022,HI,230458,,,361,62,1322,,,4,0,03/01/2022 03:28:54 PM,Not agree,Not agree
12/01/2021,HI,84848,,,88,26,1015,,,8,0,12/02/2021 02:35:20 PM,Not agree,Not agree
08/23/2020,HI,6744,,,169,0,47,,,0,0,08/24/2020 09:54:34 AM,Not agree,Not agree
