submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
02/11/2022,IL,2987502,2987502,0,0,0,35725,31795,3930,0,0,02/12/2022 02:17:24 PM,Agree,Agree
08/16/2020,CA,621562,621562,0,7873,0,11104,11104,0,110,0,08/18/2020 12:00:00 AM,Agree,Agree
06/30/2021,CA,3710454,3710454,0,-4359,0,63023,63023,0,24,0,07/02/2021 12:00:00 AM,Agree,Agree
08/27/2020,WA,73023,,,573,21,1890,,,10,0,08/27/2020 12:00:00 AM,N/A,N/A
04/20/2021,WA,387379,,,1180,297,5407,,,13,0,04/20/2021 12:00:00 AM,N/A,N/A
05/07/2022,IL,3169315,3169315,0,0,0,37956,33660,4296,0,0,05/09/2022 01:14:40 PM,Agree,Agree
06/18/2020,IL,135639,134778,861,593,0,6718,6537,181,52,0,06/19/2020 03:01:11 PM,Agree,Agree
05/25/2021,WA,429343,,,1514,260,5722,,,13,0,05/25/2021 12:00:00 AM,N/A,N/A
04/28/2021,CA,3634778,3634778,0,1593,0,60273,60273,0,65,0,04/30/2021 12:00:00 AM,Agree,Agree
05/03/2022,WA,1505137,,,1956,533,12708,,,2,0,05/03/2022 12:00:00 AM,N/A,N/A
10/08/2021,WA,678624,,,2317,363,8022,,,50,0,10/08/2021 12:00:00 AM,N/A,N/A
02/22/2021,CA,3446611,3446611,0,4665,0,49039,49039,0,232,0,02/24/2021 12:00:00 AM,Agree,Agree
07/08/2020,IL,150554,149432,1122,980,0,7309,7099,210,36,0,07/09/2020 03:14:15 PM,Agree,Agree
08/18/2021,CA,4225740,4057724,168016,14317,0,64291,64291,0,90,0,08/20/2021 12:00:00 AM,Agree,Agree
08/26/2020,CA,679099,679099,0,6004,0,12158,12158,0,155,0,08/28/2020 12:00:00 AM,Agree,Agree
03/07/2021,WA,344408,,,720,207,5041,,,0,0,03/07/2021 12:00:00 AM,N/A,N/A
06/27/2022,IL,3417093,3417093,0,9904,0,38535,34098,4437,25,3,06/28/2022 01:17:16 PM,Agree,Agree
05/24/2020,WA,19866,,,236,0,1061,,,4,0,05/24/2020 12:00:00 AM,N/A,N/A
06/01/2021,IL,1382587,1382587,0,401,0,25233,22835,2398,10,2,06/02/2021 02:35:40 PM,Agree,Agree
