station.code,station.fr_code,line.num,line.name,line.name_sub,line.station_seq,station.name_full,station.name,station.name_chc,station.name_chn,station.name_en,station.name_jp,geo.latitude,geo.longitude,geo.sigungu_code,geo.sigungu_name,geo.addres_road,geo.address_land,geo.phone
158,124,1,1호선,지하철1호선,1,청량리(서울시립대입구),청량리|서울시립대입구,祭基洞,祭基洞,Jegidong,チェギドン,37.580178,127.046835,11060,동대문구,서울특별시 동대문구 왕산로 지하205(전농동),서울특별시 동대문구 전농동 620-69 청량리역(1호선),02-6110-1241
157,125,1,1호선,지하철1호선,2,제기동,제기동,新設洞,新设洞,Sinseoldong,シンソルトン,37.578103,127.034893,11060,동대문구,서울특별시 동대문구 왕산로 지하93(제기동),서울특별시 동대문구 제기동 65 제기동역(1호선),02-6110-1251
156,126,1,1호선,지하철1호선,3,신설동,신설동,東廟앞,东庙,Dongmyo,トンミョアプ,37.575297,127.025087,11060,동대문구,서울특별시 동대문구 왕산로 지하1(신설동),서울특별시 동대문구 신설동 76-5 신설동역(1호선),02-6110-1261
159,127,1,1호선,지하철1호선,4,동묘앞,동묘앞,淸凉里(서울市立大入口),清凉里(首尔市立大学),Cheongnyangni(University of Seoul),チョンニャンニ,37.572627,127.016429,11010,종로구,서울특별시 종로구 종로 359(숭인동),서울특별시 종로구 숭인동 117 동묘앞역(1호선),02-6110-1271
155,128,1,1호선,지하철1호선,5,동대문,동대문,東大門,东大门,Dongdaemun,トンデムン,37.57142,127.009745,11010,종로구,서울특별시 종로구 종로 지하302(창신동),서울특별시 종로구 창신동 492-1 동대문역(1호선),02-6110-1281
154,129,1,1호선,지하철1호선,6,종로5가,종로5가,鍾路5街,钟路五街,Jongno 5(o)ga,チョンノオガ,37.570926,127.001849,11010,종로구,서울특별시 종로구 종로 지하216(종로5가),서울특별시 종로구 종로5가 82-1 종로5가역(1호선),02-6110-1291
153,130,1,1호선,지하철1호선,7,종로3가(탑골공원),종로3가|탑골공원,鍾路3街(탑골공원),钟路三街(塔谷公园),Jongno 3(sam)ga,チョンノサムガ,37.571607,126.991806,11010,종로구,서울특별시 종로구 종로 지하129(종로3가),서울특별시 종로구 종로3가 10-5 종로3가역(1호선),02-6110-1301
152,131,1,1호선,지하철1호선,8,종각,종각,鐘閣,钟阁,Jonggak,チョンガク,37.570161,126.982923,11010,종로구,서울특별시 종로구 종로 지하55(종로1가),서울특별시 종로구 종로1가 54 종각역(1호선),02-6110-1311
151,132,1,1호선,지하철1호선,9,시청,시청,市廳,市厅,City Hall,シチョン,37.564718,126.977108,11020,중구,서울특별시 중구 세종대로 지하101(정동),서울특별시 중구 정동 5-5 시청역(1호선),02-6110-1321
150,133,1,1호선,지하철1호선,10,서울역,서울역,서울역,首尔站,Seoul Station,ソウルヨク,37.554648,126.972559,11020,중구,서울특별시 중구 세종대로 지하2(남대문로 5가),서울특별시 중구 남대문로5가 73-6 서울역(1호선),02-6110-1331
201,201,2,2호선,을지로순환선,1,시청,시청,市廳,市厅,City Hall,シチョン,37.564718,126.977108,11020,중구,서울특별시 중구 서소문로 지하127(서소문동),서울특별시 중구 서소문동 90-1 시청역(2호선),02-6110-2011
202,202,2,2호선,을지로순환선,2,을지로입구,을지로입구,乙支路入口,乙支路入口,Euljiro 1(il)ga,ウルチロイック,37.566014,126.982618,11020,중구,서울특별시 중구 을지로 지하42(을지로1가),서울특별시 중구 을지로1가 100-1 을지로입구역(2호선),02-6110-2021
203,203,2,2호선,을지로순환선,3,을지로3가,을지로3가,乙支路3街,乙支路三街,Euljiro 3(sam)ga,ウルチロサムガ,37.566295,126.99191,11020,중구,서울특별시 중구 을지로 지하106(을지로3가),서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),02-6110-2031
204,204,2,2호선,을지로순환선,4,을지로4가,을지로4가,乙支路4街,乙支路四街,Euljiro 4(sa)ga,ウルチロサガ,37.566941,126.998079,11020,중구,서울특별시 중구 을지로 지하178(을지로4가),서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),02-6110-2041
205,205,2,2호선,을지로순환선,5,동대문역사문화공원(DDP),동대문역사문화공원|DDP,東大門歷史文化公園(DDP),东大门历史文化公园(DDP),Dongdaemun History & Culture Park(DDP),トンデムンヨクサムンファゴンウォン(DDP),37.565138,127.007896,11020,중구,서울특별시 중구 을지로 지하279(을지로7가),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),02-6110-2051
206,206,2,2호선,을지로순환선,6,신당,신당,新堂,新堂,Sindang,シンダン,37.565972,127.01782,11020,중구,서울특별시 중구 퇴계로 지하431-1(신당동),서울특별시 중구 신당동 99 신당역(2호선),02-6110-2061
207,207,2,2호선,을지로순환선,7,상왕십리,상왕십리,上往十里,上往十里,Sangwangsimni,サンワンシムニ,37.564354,127.029354,11040,성동구,서울특별시 성동구 왕십리로 지하374(하왕십리동),서울특별시 성동구 하왕십리동 946-14 상왕십리역(2호선),02-6110-2071
208,208,2,2호선,을지로순환선,8,왕십리(성동구청),왕십리|성동구청,往十里(城東區廳),往十里(城东区厅),Wangsimni(Seongdong-gu Office),ワンシムニ(ソンドン区庁),37.561533,127.037732,11040,성동구,서울특별시 성동구 왕십리로 지하300(행당동),서울특별시 성동구 행당동 192 왕십리역(2호선),02-6110-2081
209,209,2,2호선,을지로순환선,9,한양대,한양대,漢陽大,汉阳大学,Hanyang Univ.,ハニャンデ,37.555273,127.043655,11040,성동구,서울특별시 성동구 왕십리로 206(행당동),서울특별시 성동구 행당동 산17 한양대역(2호선),02-6110-2091
210,210,2,2호선,을지로순환선,10,뚝섬,뚝섬,뚝섬,纛岛,Ttukseom,トゥッソム,37.547184,127.047367,11040,성동구,서울특별시 성동구 아차산로 18(성수동1가),서울특별시 성동구 성수동1가 656-745 뚝섬역(2호선),02-6110-2101
211,211,2,2호선,을지로순환선|성수지선,11,성수,성수,聖水,圣水,Seongsu,ソンス,37.544581,127.055961,11040,성동구,서울특별시 성동구 아차산로 100(성수동2가),서울특별시 성동구 성수동2가 300-1 성수역(2호선),02-6110-2111
212,212,2,2호선,을지로순환선,12,건대입구,건대입구,建大入口,建国大学,Konkuk Univ.,コンデイック,37.540693,127.07023,11050,광진구,서울특별시 광진구 아차산로 243(화양동),서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),02-6110-2121
213,213,2,2호선,을지로순환선,13,구의(광진구청),구의|광진구청,九宜(廣津區廳),九宜(广津区厅),Guui (Gwangjin-gu Office),クイ,37.537077,127.085916,11050,광진구,서울특별시 광진구 아차산로 384-1(구의동),서울특별시 광진구 구의동 245-24 구의역(2호선),02-6110-2131
214,214,2,2호선,을지로순환선,14,강변(동서울터미널),강변|동서울터미널,江邊(東서울터미널),江边(东首尔客运站),Gangbyeon (Dongseoul Bus Terminal),カンビョン,37.535095,127.094681,11050,광진구,서울특별시 광진구 강변역로 53(구의동),서울특별시 광진구 구의동 546-6 강변역(2호선),02-6110-2141
215,215,2,2호선,을지로순환선,15,잠실나루,잠실나루,蠶室나루,蚕室渡口,Jamsillaru,チャムシルナル,37.520733,127.10379,11240,송파구,서울특별시 송파구 오금로 20(신천동),서울특별시 송파구 신천동 15 잠실나루역(2호선),02-6110-2151
216,216,2,2호선,을지로순환선,16,잠실(송파구청),잠실|송파구청,蠶室(松坡區廳),蚕室(松坡区厅),Jamsil (Songpa-gu Office),チャムシル,37.51395,127.102234,11240,송파구,서울특별시 송파구 올림픽로 지하265(신천동),서울특별시 송파구 신천동 8 잠실역(2호선),02-6110-2161
217,217,2,2호선,을지로순환선,17,잠실새내,잠실새내,잠실새내,蚕室新川,Jamsilsaenae,チャムシルセネ,37.511687,127.086162,11240,송파구,서울특별시 송파구 올림픽로 지하140(잠실동),서울특별시 송파구 잠실동 33 잠실새내역(2호선),02-6110-2171
218,218,2,2호선,을지로순환선,18,종합운동장,종합운동장,綜合運動場,综合运动场,Sports Complex,チョンハブンドンジャン,37.510997,127.073642,11240,송파구,서울특별시 송파구 올림픽로 지하23(잠실동),서울특별시 송파구 잠실동 122 종합운동장역(2호선),02-6110-2181
219,219,2,2호선,을지로순환선,19,삼성(무역센터),삼성|무역센터,三成(貿易센터),三成(会展中心),Samseong (World Trade Center Seoul),サムソン(三成),37.508844,127.06316,11230,강남구,서울특별시 강남구 테헤란로 지하538(삼성동),서울특별시 강남구 삼성동 172-66 삼성역(2호선),02-6110-2191
